CodigoCNES,NomeFantasia,codigo_tratado,nome_tratado
"OrderedDict([('codigo', '6259456')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DR FLAVIO PACHECO')])",6259456,CONSULTORIO ODONTOLOGICO DR FLAVIO PACHECO
"OrderedDict([('codigo', '6260179')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DR ANTONIO CABRAL')])",6260179,CONSULTORIO ODONTOLOGICO DR ANTONIO CABRAL
"OrderedDict([('codigo', '2654105')])","OrderedDict([('Nome', 'CASA MENINO JESUS')])",2654105,CASA MENINO JESUS
"OrderedDict([('codigo', '2654083')])","OrderedDict([('Nome', 'CENTRO INTEG ATEND EDUCACIONAL AO ADOLESCENTECIAD')])",2654083,CENTRO INTEG ATEND EDUCACIONAL AO ADOLESCENTECIAD
"OrderedDict([('codigo', '5418402')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO GEORGIA DO ESPIRITO SANTO DO NASCIMENTO')])",5418402,CONSULTORIO MEDICO GEORGIA DO ESPIRITO SANTO DO NASCIMENTO
"OrderedDict([('codigo', '4013522')])","OrderedDict([('Nome', 'LABORATORIO DE PATOLOGIA CIRURGICA')])",4013522,LABORATORIO DE PATOLOGIA CIRURGICA
"OrderedDict([('codigo', '2656760')])","OrderedDict([('Nome', 'LABORATORIO ALEXANDRE FLEMINGLAF')])",2656760,LABORATORIO ALEXANDRE FLEMINGLAF
"OrderedDict([('codigo', '2656809')])","OrderedDict([('Nome', 'CLINICA MULT LIFE LABORATORIO')])",2656809,CLINICA MULT LIFE LABORATORIO
"OrderedDict([('codigo', '2656485')])","OrderedDict([('Nome', 'DISTRITO OESTE')])",2656485,DISTRITO OESTE
"OrderedDict([('codigo', '2656507')])","OrderedDict([('Nome', 'USF SOLEDADE I')])",2656507,USF SOLEDADE I
"OrderedDict([('codigo', '2656868')])","OrderedDict([('Nome', 'USF NORDELANDIA')])",2656868,USF NORDELANDIA
"OrderedDict([('codigo', '2656906')])","OrderedDict([('Nome', 'CENTRO DE NEUROPSICOPEDAGOGIA')])",2656906,CENTRO DE NEUROPSICOPEDAGOGIA
"OrderedDict([('codigo', '5756030')])","OrderedDict([('Nome', 'TO CLINICA')])",5756030,TO CLINICA
"OrderedDict([('codigo', '4013476')])","OrderedDict([('Nome', 'CENTRO DE REABILITACAO INFANTIL E ADULTO')])",4013476,CENTRO DE REABILITACAO INFANTIL E ADULTO
"OrderedDict([('codigo', '8003629')])","OrderedDict([('Nome', 'HOSPITAL DO CORACAO DE NATAL')])",8003629,HOSPITAL DO CORACAO DE NATAL
"OrderedDict([('codigo', '3091341')])","OrderedDict([('Nome', 'CLINICA ASSISTANCE FISIOTERAPIA')])",3091341,CLINICA ASSISTANCE FISIOTERAPIA
"OrderedDict([('codigo', '3082601')])","OrderedDict([('Nome', 'CLINICA DERMOESTETICA')])",3082601,CLINICA DERMOESTETICA
"OrderedDict([('codigo', '3086909')])","OrderedDict([('Nome', 'CLINICA SANTA CLARA')])",3086909,CLINICA SANTA CLARA
"OrderedDict([('codigo', '3110303')])","OrderedDict([('Nome', 'DERMOCLINICA')])",3110303,DERMOCLINICA
"OrderedDict([('codigo', '5761786')])","OrderedDict([('Nome', 'CENTRO VITTA')])",5761786,CENTRO VITTA
"OrderedDict([('codigo', '6359965')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DR EMANUEL MATOS')])",6359965,CONSULTORIO MEDICO DR EMANUEL MATOS
"OrderedDict([('codigo', '6442692')])","OrderedDict([('Nome', 'CLINICA JULYTHA SILVEIRA')])",6442692,CLINICA JULYTHA SILVEIRA
"OrderedDict([('codigo', '6444520')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA FATIMA SUELY')])",6444520,CONSULTORIO ODONTOLOGICO DRA FATIMA SUELY
"OrderedDict([('codigo', '2408384')])","OrderedDict([('Nome', 'USF VALE DOURADO')])",2408384,USF VALE DOURADO
"OrderedDict([('codigo', '2408406')])","OrderedDict([('Nome', 'DISTRITO NORTE I')])",2408406,DISTRITO NORTE I
"OrderedDict([('codigo', '2408627')])","OrderedDict([('Nome', 'UNIDADE MISTA DE MAE LUIZA')])",2408627,UNIDADE MISTA DE MAE LUIZA
"OrderedDict([('codigo', '2408724')])","OrderedDict([('Nome', 'UBS ALECRIM')])",2408724,UBS ALECRIM
"OrderedDict([('codigo', '2408740')])","OrderedDict([('Nome', 'UBS SAO JOAO')])",2408740,UBS SAO JOAO
"OrderedDict([('codigo', '2408775')])","OrderedDict([('Nome', 'USF BRASILIA TEIMOSA')])",2408775,USF BRASILIA TEIMOSA
"OrderedDict([('codigo', '2408791')])","OrderedDict([('Nome', 'UBS PITIMBU')])",2408791,UBS PITIMBU
"OrderedDict([('codigo', '6615902')])","OrderedDict([('Nome', 'COMPLEXO ESTADUAL DE REGULACAO')])",6615902,COMPLEXO ESTADUAL DE REGULACAO
"OrderedDict([('codigo', '2408163')])","OrderedDict([('Nome', 'USF NOVO HORIZONTE')])",2408163,USF NOVO HORIZONTE
"OrderedDict([('codigo', '2408279')])","OrderedDict([('Nome', 'CLINICA ARTICULAR UNIDADE DE FISIOTERAPIA')])",2408279,CLINICA ARTICULAR UNIDADE DE FISIOTERAPIA
"OrderedDict([('codigo', '2408309')])","OrderedDict([('Nome', 'CLINICA DE OLHOS SANTA BEATRIZ')])",2408309,CLINICA DE OLHOS SANTA BEATRIZ
"OrderedDict([('codigo', '4013484')])","OrderedDict([('Nome', 'HOSPITAL GISELDA TRIGUEIRO')])",4013484,HOSPITAL GISELDA TRIGUEIRO
"OrderedDict([('codigo', '6353495')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DR PASCOAL')])",6353495,CONSULTORIO MEDICO DR PASCOAL
"OrderedDict([('codigo', '2381044')])","OrderedDict([('Nome', 'CLINICA DE DOENCAS RENAIS')])",2381044,CLINICA DE DOENCAS RENAIS
"OrderedDict([('codigo', '2679515')])","OrderedDict([('Nome', 'USF SOLEDADE II')])",2679515,USF SOLEDADE II
"OrderedDict([('codigo', '2679604')])","OrderedDict([('Nome', 'IOTRAUMA')])",2679604,IOTRAUMA
"OrderedDict([('codigo', '2680033')])","OrderedDict([('Nome', 'PRONTOCLINICA DA CRIANCA DR PAULO GURGEL')])",2680033,PRONTOCLINICA DA CRIANCA DR PAULO GURGEL
"OrderedDict([('codigo', '2693682')])","OrderedDict([('Nome', 'PAPANICOLAU')])",2693682,PAPANICOLAU
"OrderedDict([('codigo', '3110257')])","OrderedDict([('Nome', 'CLINICA FEMINA')])",3110257,CLINICA FEMINA
"OrderedDict([('codigo', '6348939')])","OrderedDict([('Nome', 'CI ATIVIDADE DE FISIOTERAPIA')])",6348939,CI ATIVIDADE DE FISIOTERAPIA
"OrderedDict([('codigo', '3094359')])","OrderedDict([('Nome', 'PAN MED')])",3094359,PAN MED
"OrderedDict([('codigo', '2766345')])","OrderedDict([('Nome', 'TOMOCENTRO SAO LUCAS')])",2766345,TOMOCENTRO SAO LUCAS
"OrderedDict([('codigo', '2409119')])","OrderedDict([('Nome', 'POLICLINICA OESTE')])",2409119,POLICLINICA OESTE
"OrderedDict([('codigo', '2679493')])","OrderedDict([('Nome', 'PRONTO ATENDIMENTO INFANTIL SANDRA CELESTE')])",2679493,PRONTO ATENDIMENTO INFANTIL SANDRA CELESTE
"OrderedDict([('codigo', '2408449')])","OrderedDict([('Nome', 'UBS LAGOA SECA')])",2408449,UBS LAGOA SECA
"OrderedDict([('codigo', '2408457')])","OrderedDict([('Nome', 'USF BOM PASTOR')])",2408457,USF BOM PASTOR
"OrderedDict([('codigo', '2408430')])","OrderedDict([('Nome', 'USF GUARAPES')])",2408430,USF GUARAPES
"OrderedDict([('codigo', '2409038')])","OrderedDict([('Nome', 'USF PLANALTO')])",2409038,USF PLANALTO
"OrderedDict([('codigo', '6350224')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA CONSUELO GUSMAO')])",6350224,CONSULTORIO ODONTOLOGICO DRA CONSUELO GUSMAO
"OrderedDict([('codigo', '2408465')])","OrderedDict([('Nome', 'USF CIDADE NOVA')])",2408465,USF CIDADE NOVA
"OrderedDict([('codigo', '3677125')])","OrderedDict([('Nome', 'CONSULTORIO DR JAMIL VARELA')])",3677125,CONSULTORIO DR JAMIL VARELA
"OrderedDict([('codigo', '3686930')])","OrderedDict([('Nome', 'CONSULTORIO DRA NEREIDA BEZERRA')])",3686930,CONSULTORIO DRA NEREIDA BEZERRA
"OrderedDict([('codigo', '3687031')])","OrderedDict([('Nome', 'CONSULTORIO DRA CLARA MARIA DIAS')])",3687031,CONSULTORIO DRA CLARA MARIA DIAS
"OrderedDict([('codigo', '3687201')])","OrderedDict([('Nome', 'CONSULTORIO DRA MARIA HELENA')])",3687201,CONSULTORIO DRA MARIA HELENA
"OrderedDict([('codigo', '2381451')])","OrderedDict([('Nome', 'HEMOCENTRO DALTON BARBOSA CUNHA HEMONORTE')])",2381451,HEMOCENTRO DALTON BARBOSA CUNHA HEMONORTE
"OrderedDict([('codigo', '3105717')])","OrderedDict([('Nome', 'MEDICARE')])",3105717,MEDICARE
"OrderedDict([('codigo', '3649563')])","OrderedDict([('Nome', 'HOSPITAL UNIMED')])",3649563,HOSPITAL UNIMED
"OrderedDict([('codigo', '3060373')])","OrderedDict([('Nome', 'AMI')])",3060373,AMI
"OrderedDict([('codigo', '6441866')])","OrderedDict([('Nome', 'CLINICA RICARDO MIRANDA')])",6441866,CLINICA RICARDO MIRANDA
"OrderedDict([('codigo', '2408473')])","OrderedDict([('Nome', 'USF VISTA VERDE')])",2408473,USF VISTA VERDE
"OrderedDict([('codigo', '4013549')])","OrderedDict([('Nome', 'CENTRO INTEGRADO DE CITOPATOLOGIA')])",4013549,CENTRO INTEGRADO DE CITOPATOLOGIA
"OrderedDict([('codigo', '5619904')])","OrderedDict([('Nome', 'CARDIONUCLEAR')])",5619904,CARDIONUCLEAR
"OrderedDict([('codigo', '3409988')])","OrderedDict([('Nome', 'FONSECA MEDICAL LTDA')])",3409988,FONSECA MEDICAL LTDA
"OrderedDict([('codigo', '8004625')])","OrderedDict([('Nome', 'CENTRO EDUCACIONAL ESPERANCA')])",8004625,CENTRO EDUCACIONAL ESPERANCA
"OrderedDict([('codigo', '2654253')])","OrderedDict([('Nome', 'CEORN')])",2654253,CEORN
"OrderedDict([('codigo', '6108636')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DRA EDITH MARA')])",6108636,CONSULTORIO MEDICO DRA EDITH MARA
"OrderedDict([('codigo', '2408317')])","OrderedDict([('Nome', 'UNICORUNIDADE CARDIOLOGICA SC LTDA')])",2408317,UNICORUNIDADE CARDIOLOGICA SC LTDA
"OrderedDict([('codigo', '2653958')])","OrderedDict([('Nome', 'CLINORT')])",2653958,CLINORT
"OrderedDict([('codigo', '2654180')])","OrderedDict([('Nome', 'TUTUBARAO')])",2654180,TUTUBARAO
"OrderedDict([('codigo', '2656582')])","OrderedDict([('Nome', 'LABORATORIO ROMILDO PESSOA')])",2656582,LABORATORIO ROMILDO PESSOA
"OrderedDict([('codigo', '4013611')])","OrderedDict([('Nome', 'TRATAMENTO FORA DO DOMICILIO')])",4013611,TRATAMENTO FORA DO DOMICILIO
"OrderedDict([('codigo', '3108953')])","OrderedDict([('Nome', 'ORTOPEDIA PETROPOLIS')])",3108953,ORTOPEDIA PETROPOLIS
"OrderedDict([('codigo', '2408295')])","OrderedDict([('Nome', 'LABORATORIO RUDOLF VIRCHOW')])",2408295,LABORATORIO RUDOLF VIRCHOW
"OrderedDict([('codigo', '2409135')])","OrderedDict([('Nome', 'SUVAG')])",2409135,SUVAG
"OrderedDict([('codigo', '2653982')])","OrderedDict([('Nome', 'HUOL HOSPITAL UNIVERSITARIO ONOFRE LOPES')])",2653982,HUOL HOSPITAL UNIVERSITARIO ONOFRE LOPES
"OrderedDict([('codigo', '2656892')])","OrderedDict([('Nome', 'SESI CLINICA')])",2656892,SESI CLINICA
"OrderedDict([('codigo', '2766612')])","OrderedDict([('Nome', 'CLINICA TIROL')])",2766612,CLINICA TIROL
"OrderedDict([('codigo', '2408368')])","OrderedDict([('Nome', 'NUCLEO DE ASSISTENCIA MEDICA')])",2408368,NUCLEO DE ASSISTENCIA MEDICA
"OrderedDict([('codigo', '2408392')])","OrderedDict([('Nome', 'USF AFRICA')])",2408392,USF AFRICA
"OrderedDict([('codigo', '2408481')])","OrderedDict([('Nome', 'USF GUARITA')])",2408481,USF GUARITA
"OrderedDict([('codigo', '2408538')])","OrderedDict([('Nome', 'APAE')])",2408538,APAE
"OrderedDict([('codigo', '2408635')])","OrderedDict([('Nome', 'UBS NOVA DESCOBERTA')])",2408635,UBS NOVA DESCOBERTA
"OrderedDict([('codigo', '2408732')])","OrderedDict([('Nome', 'DEPARTAMENTO DE VIGILANCIA EM SAUDE')])",2408732,DEPARTAMENTO DE VIGILANCIA EM SAUDE
"OrderedDict([('codigo', '2408759')])","OrderedDict([('Nome', 'USF ROCAS')])",2408759,USF ROCAS
"OrderedDict([('codigo', '2408783')])","OrderedDict([('Nome', 'USF PONTA NEGRA')])",2408783,USF PONTA NEGRA
"OrderedDict([('codigo', '2408848')])","OrderedDict([('Nome', 'UBS CANDELARIA')])",2408848,UBS CANDELARIA
"OrderedDict([('codigo', '3559211')])","OrderedDict([('Nome', 'CLINICA DE FISIOTERAPIA')])",3559211,CLINICA DE FISIOTERAPIA
"OrderedDict([('codigo', '5672465')])","OrderedDict([('Nome', 'SECRETARIA ESTADUAL DE SAUDE PUBLICA DO RN')])",5672465,SECRETARIA ESTADUAL DE SAUDE PUBLICA DO RN
"OrderedDict([('codigo', '7186002')])","OrderedDict([('Nome', 'CLINICA PROCTOSAUDE')])",7186002,CLINICA PROCTOSAUDE
"OrderedDict([('codigo', '3644243')])","OrderedDict([('Nome', 'CONSULTORIO DRA EDILZA MARIA ANDRADE')])",3644243,CONSULTORIO DRA EDILZA MARIA ANDRADE
"OrderedDict([('codigo', '3660885')])","OrderedDict([('Nome', 'CONSULTORIO DRA ROSAMARIA DE QUEIROZ GONCALVES')])",3660885,CONSULTORIO DRA ROSAMARIA DE QUEIROZ GONCALVES
"OrderedDict([('codigo', '3663418')])","OrderedDict([('Nome', 'CONSULTORIO DR TERTULIANO AIRES')])",3663418,CONSULTORIO DR TERTULIANO AIRES
"OrderedDict([('codigo', '7356358')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA CARLA FRANCOISE')])",7356358,CONSULTORIO ODONTOLOGICO DRA CARLA FRANCOISE
"OrderedDict([('codigo', '6329195')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DR THOMAS')])",6329195,CONSULTORIO MEDICO DR THOMAS
"OrderedDict([('codigo', '3106454')])","OrderedDict([('Nome', 'CENTRO DE REABILITACAO INTEGRADA NATAL')])",3106454,CENTRO DE REABILITACAO INTEGRADA NATAL
"OrderedDict([('codigo', '7479565')])","OrderedDict([('Nome', 'TEO TRATAMENTO ESPECIALIZADO DE ORTONDONTIA')])",7479565,TEO TRATAMENTO ESPECIALIZADO DE ORTONDONTIA
"OrderedDict([('codigo', '7480377')])","OrderedDict([('Nome', 'ODONTO NORTE')])",7480377,ODONTO NORTE
"OrderedDict([('codigo', '7199368')])","OrderedDict([('Nome', 'REABILITO')])",7199368,REABILITO
"OrderedDict([('codigo', '7205406')])","OrderedDict([('Nome', 'TRAUMA FACE')])",7205406,TRAUMA FACE
"OrderedDict([('codigo', '7208871')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA LUANA CARINA')])",7208871,CONSULTORIO ODONTOLOGICO DRA LUANA CARINA
"OrderedDict([('codigo', '2654075')])","OrderedDict([('Nome', 'CENTRO EDUCACIONAL PADRE JOAO MARIA')])",2654075,CENTRO EDUCACIONAL PADRE JOAO MARIA
"OrderedDict([('codigo', '2654172')])","OrderedDict([('Nome', 'CENTRO DE CONTROLE DE ZOONOZES')])",2654172,CENTRO DE CONTROLE DE ZOONOZES
"OrderedDict([('codigo', '2654229')])","OrderedDict([('Nome', 'ECOLAB')])",2654229,ECOLAB
"OrderedDict([('codigo', '7334168')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO')])",7334168,CONSULTORIO MEDICO
"OrderedDict([('codigo', '7334613')])","OrderedDict([('Nome', 'RB AESTHETIC CENTER')])",7334613,RB AESTHETIC CENTER
"OrderedDict([('codigo', '7337000')])","OrderedDict([('Nome', 'AUDEXX SERVICOS FONOAUDIOLOGICOS LTDA ME')])",7337000,AUDEXX SERVICOS FONOAUDIOLOGICOS LTDA ME
"OrderedDict([('codigo', '7283636')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLIGICO DRA ROBERTA CUNHA')])",7283636,CONSULTORIO ODONTOLIGICO DRA ROBERTA CUNHA
"OrderedDict([('codigo', '7286538')])","OrderedDict([('Nome', 'UROFISIO')])",7286538,UROFISIO
"OrderedDict([('codigo', '7287259')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DR RODRIGO VIANA')])",7287259,CONSULTORIO MEDICO DR RODRIGO VIANA
"OrderedDict([('codigo', '7293658')])","OrderedDict([('Nome', 'C B HEMATOLOGIA LTDA ME')])",7293658,C B HEMATOLOGIA LTDA ME
"OrderedDict([('codigo', '7294093')])","OrderedDict([('Nome', 'VIDA FONOAUDIOLOGIA')])",7294093,VIDA FONOAUDIOLOGIA
"OrderedDict([('codigo', '2680041')])","OrderedDict([('Nome', 'LABORATORIO DE ANATOMIA PATOLOGICA E CITOPATOLOGIA')])",2680041,LABORATORIO DE ANATOMIA PATOLOGICA E CITOPATOLOGIA
"OrderedDict([('codigo', '7550626')])","OrderedDict([('Nome', 'CENTRAL ESTADUAL DE TRANSPLANTES CNCDO RN')])",7550626,CENTRAL ESTADUAL DE TRANSPLANTES CNCDO RN
"OrderedDict([('codigo', '7164408')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DRA IVANY BASTOS')])",7164408,CONSULTORIO MEDICO DRA IVANY BASTOS
"OrderedDict([('codigo', '7164947')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DRA LIDIANE FERREIRA')])",7164947,CONSULTORIO MEDICO DRA LIDIANE FERREIRA
"OrderedDict([('codigo', '7868685')])","OrderedDict([('Nome', 'CENTRO MEDICO SAUDE E VIDA LTDA')])",7868685,CENTRO MEDICO SAUDE E VIDA LTDA
"OrderedDict([('codigo', '9392912')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA MARIA ELIENE DE OLIVEIRA')])",9392912,CONSULTORIO ODONTOLOGICO DRA MARIA ELIENE DE OLIVEIRA
"OrderedDict([('codigo', '3060403')])","OrderedDict([('Nome', 'GASTROCENTRO')])",3060403,GASTROCENTRO
"OrderedDict([('codigo', '3058883')])","OrderedDict([('Nome', 'CLINICA DE OLHOS NATAL')])",3058883,CLINICA DE OLHOS NATAL
"OrderedDict([('codigo', '3052346')])","OrderedDict([('Nome', 'DNA CENTER')])",3052346,DNA CENTER
"OrderedDict([('codigo', '3055973')])","OrderedDict([('Nome', 'OFTALMOCENTER')])",3055973,OFTALMOCENTER
"OrderedDict([('codigo', '3052443')])","OrderedDict([('Nome', 'TRINDADE E TRINDADE SERVICOS MEDICOS')])",3052443,TRINDADE E TRINDADE SERVICOS MEDICOS
"OrderedDict([('codigo', '2653966')])","OrderedDict([('Nome', 'CERPICS CENTRO DE REF EM PRATICAS INTEG E COMPLEMENTARES')])",2653966,CERPICS CENTRO DE REF EM PRATICAS INTEG E COMPLEMENTARES
"OrderedDict([('codigo', '2654040')])","OrderedDict([('Nome', 'CID CENTRO DE IMAGEM E DIAGNOSTICO')])",2654040,CID CENTRO DE IMAGEM E DIAGNOSTICO
"OrderedDict([('codigo', '2654113')])","OrderedDict([('Nome', 'ADOTE')])",2654113,ADOTE
"OrderedDict([('codigo', '2654199')])","OrderedDict([('Nome', 'GERONTOCLINICA')])",2654199,GERONTOCLINICA
"OrderedDict([('codigo', '6145094')])","OrderedDict([('Nome', 'CONSULTORIO DRA ROSIE')])",6145094,CONSULTORIO DRA ROSIE
"OrderedDict([('codigo', '6108806')])","OrderedDict([('Nome', 'CONSULTORIO DR ARNALDO FARIAS JR')])",6108806,CONSULTORIO DR ARNALDO FARIAS JR
"OrderedDict([('codigo', '5355605')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO EDNA MARIA FONSECA PALHARES')])",5355605,CONSULTORIO MEDICO EDNA MARIA FONSECA PALHARES
"OrderedDict([('codigo', '5362350')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO IVONEIDE ALVES LINS DE LIMA')])",5362350,CONSULTORIO ODONTOLOGICO IVONEIDE ALVES LINS DE LIMA
"OrderedDict([('codigo', '5362385')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO MARCOS DANTAS FULCO')])",5362385,CONSULTORIO ODONTOLOGICO MARCOS DANTAS FULCO
"OrderedDict([('codigo', '5362644')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO FRANCIS JOSE NOBREGA LOPES')])",5362644,CONSULTORIO ODONTOLOGICO FRANCIS JOSE NOBREGA LOPES
"OrderedDict([('codigo', '5362865')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO PATRICIA MEDEIROS DE OLIVEIRA')])",5362865,CONSULTORIO ODONTOLOGICO PATRICIA MEDEIROS DE OLIVEIRA
"OrderedDict([('codigo', '5363888')])","OrderedDict([('Nome', 'CONSULTORIO JOAO RICARDO SILVA DE ARAUJO')])",5363888,CONSULTORIO JOAO RICARDO SILVA DE ARAUJO
"OrderedDict([('codigo', '5365317')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO FATIMA REGINA TIENGO CORREA')])",5365317,CONSULTORIO ODONTOLOGICO FATIMA REGINA TIENGO CORREA
"OrderedDict([('codigo', '5365473')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO MARIA IONE FERREIRA COSTA')])",5365473,CONSULTORIO MEDICO MARIA IONE FERREIRA COSTA
"OrderedDict([('codigo', '5366445')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO HENRIQUE FARLEY DE ANDRADE NEVES')])",5366445,CONSULTORIO ODONTOLOGICO HENRIQUE FARLEY DE ANDRADE NEVES
"OrderedDict([('codigo', '5366631')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO CONCEICAO APARECIDA MACIEL HOLANDA')])",5366631,CONSULTORIO ODONTOLOGICO CONCEICAO APARECIDA MACIEL HOLANDA
"OrderedDict([('codigo', '5367794')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO ANGELA MARIA GOMES REVOREDO DE SOUSA')])",5367794,CONSULTORIO MEDICO ANGELA MARIA GOMES REVOREDO DE SOUSA
"OrderedDict([('codigo', '5367972')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO ANA CELSA ARBOES PETRONILO')])",5367972,CONSULTORIO MEDICO ANA CELSA ARBOES PETRONILO
"OrderedDict([('codigo', '5370418')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO ANDREZA MARIA ANDRADE PINHEIRO')])",5370418,CONSULTORIO ODONTOLOGICO ANDREZA MARIA ANDRADE PINHEIRO
"OrderedDict([('codigo', '7339216')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DR MUCIO VILAR')])",7339216,CONSULTORIO ODONTOLOGICO DR MUCIO VILAR
"OrderedDict([('codigo', '5321808')])","OrderedDict([('Nome', 'SOS OTORRINOS')])",5321808,SOS OTORRINOS
"OrderedDict([('codigo', '5711711')])","OrderedDict([('Nome', 'CONSULTORIO CARLA IZABEL NOBREGA ARAUJO')])",5711711,CONSULTORIO CARLA IZABEL NOBREGA ARAUJO
"OrderedDict([('codigo', '5723191')])","OrderedDict([('Nome', 'CLINICA BETESDA')])",5723191,CLINICA BETESDA
"OrderedDict([('codigo', '5373336')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO FRANCISCO DAS CHAGAS FORMIGA DA SILVA')])",5373336,CONSULTORIO MEDICO FRANCISCO DAS CHAGAS FORMIGA DA SILVA
"OrderedDict([('codigo', '5375983')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO REGINA MARIA OLIVEIRA DE MIRANDA')])",5375983,CONSULTORIO MEDICO REGINA MARIA OLIVEIRA DE MIRANDA
"OrderedDict([('codigo', '7473141')])","OrderedDict([('Nome', 'COPIRN')])",7473141,COPIRN
"OrderedDict([('codigo', '7489005')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DRA SIMONE BEZERRA')])",7489005,CONSULTORIO MEDICO DRA SIMONE BEZERRA
"OrderedDict([('codigo', '7492936')])","OrderedDict([('Nome', 'SPACIO REVIVIR')])",7492936,SPACIO REVIVIR
"OrderedDict([('codigo', '7493703')])","OrderedDict([('Nome', 'AUTRAN NUNES')])",7493703,AUTRAN NUNES
"OrderedDict([('codigo', '7494750')])","OrderedDict([('Nome', 'ABD MEDICAL LTDA ME')])",7494750,ABD MEDICAL LTDA ME
"OrderedDict([('codigo', '5438578')])","OrderedDict([('Nome', 'CARDIODONT')])",5438578,CARDIODONT
"OrderedDict([('codigo', '7862938')])","OrderedDict([('Nome', 'BEM ORAL ODONTOLOGIA')])",7862938,BEM ORAL ODONTOLOGIA
"OrderedDict([('codigo', '5503744')])","OrderedDict([('Nome', 'CONSULTORIO ALEXEY ALVES GARCEZ')])",5503744,CONSULTORIO ALEXEY ALVES GARCEZ
"OrderedDict([('codigo', '5503825')])","OrderedDict([('Nome', 'CLINICA DE GINECOLOGIA E OBSTETRICIA')])",5503825,CLINICA DE GINECOLOGIA E OBSTETRICIA
"OrderedDict([('codigo', '6292062')])","OrderedDict([('Nome', 'CONSULTORIO DE NUTRICAO DRA SILVANA GURGEL')])",6292062,CONSULTORIO DE NUTRICAO DRA SILVANA GURGEL
"OrderedDict([('codigo', '5856043')])","OrderedDict([('Nome', 'ONCOCLINICA')])",5856043,ONCOCLINICA
"OrderedDict([('codigo', '5785618')])","OrderedDict([('Nome', 'CONSULTORIO DR MAURICIO BRUM')])",5785618,CONSULTORIO DR MAURICIO BRUM
"OrderedDict([('codigo', '5728460')])","OrderedDict([('Nome', 'CONSULTORIO DERMATOLOGICO DR JOAO GOMES')])",5728460,CONSULTORIO DERMATOLOGICO DR JOAO GOMES
"OrderedDict([('codigo', '5728509')])","OrderedDict([('Nome', 'CONSULTORIO DR JULIO AGOSTINHO')])",5728509,CONSULTORIO DR JULIO AGOSTINHO
"OrderedDict([('codigo', '5728592')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA MARIA DAS GRACAS CALDAS')])",5728592,CONSULTORIO ODONTOLOGICO DRA MARIA DAS GRACAS CALDAS
"OrderedDict([('codigo', '5728614')])","OrderedDict([('Nome', 'CONSULTORIO DE ODONTOLOGIA DRA ELZA MARIA GURGEL')])",5728614,CONSULTORIO DE ODONTOLOGIA DRA ELZA MARIA GURGEL
"OrderedDict([('codigo', '5728630')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA LIGIA MORENO')])",5728630,CONSULTORIO ODONTOLOGICO DRA LIGIA MORENO
"OrderedDict([('codigo', '5728673')])","OrderedDict([('Nome', 'ODONTOLOGIA ESPECIALIZADA WENDELL LIMA CARVALHO')])",5728673,ODONTOLOGIA ESPECIALIZADA WENDELL LIMA CARVALHO
"OrderedDict([('codigo', '5728711')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA MARIA GORETTI')])",5728711,CONSULTORIO ODONTOLOGICO DRA MARIA GORETTI
